number;id;comments;title;createdAt;closedAt
514;MDU6SXNzdWUzNzc3Mjc5NjQ=;{'totalCount': 2};Serverless etc.;2018-11-06T07:50:21Z;2020-01-10T22:09:46Z
515;MDU6SXNzdWUzODA2OTk5MTg=;{'totalCount': 0};needs medium article links in README section under individual roadmap ;2018-11-14T13:33:15Z;2018-11-14T20:16:39Z
517;MDU6SXNzdWUzODIwMDgzMDQ=;{'totalCount': 8};Why C# and Java as other option and not Enterprise Development ?;2018-11-18T22:37:14Z;2020-01-10T16:25:53Z
520;MDU6SXNzdWUzODc0ODc5MTU=;{'totalCount': 1};Typo in DevOps Roadmap - Puppe should be Puppet;2018-12-04T21:30:13Z;2020-01-18T07:59:14Z
521;MDU6SXNzdWUzODkxMjA2MTc=;{'totalCount': 1};Typo on Back-end roadmap;2018-12-10T03:28:11Z;2020-01-10T22:09:13Z
523;MDU6SXNzdWUzOTM3OTUxNzA=;{'totalCount': 1};change 2018 to 2019 ;2018-12-24T01:39:24Z;2018-12-29T19:04:55Z
525;MDU6SXNzdWUzOTQ5NDI1NjY=;{'totalCount': 1};There is no CSS3;2018-12-31T07:47:30Z;2020-01-04T00:36:11Z
527;MDU6SXNzdWUzOTUwMjAzOTU=;{'totalCount': 0};2018 branch?;2018-12-31T19:05:22Z;2018-12-31T19:06:40Z
528;MDU6SXNzdWUzOTUzMTM2ODM=;{'totalCount': 1};Typo for CSS Architecture;2019-01-02T17:00:54Z;2020-01-04T00:35:56Z
529;MDU6SXNzdWUzOTU0NDc5MjI=;{'totalCount': 3};Add Flutter to the front-end mobile applications.;2019-01-03T03:32:42Z;2020-01-04T00:35:40Z
531;MDU6SXNzdWUzOTYzODE5MDA=;{'totalCount': 1};Spelling error;2019-01-07T07:49:52Z;2019-05-06T09:13:12Z
532;MDU6SXNzdWUzOTY2MzIwMzU=;{'totalCount': 1};Miss information about ORMs in the backend path. Can you give more recommendations?;2019-01-07T20:11:10Z;2020-01-10T22:08:58Z
533;MDU6SXNzdWUzOTY2NTM0NDY=;{'totalCount': 1};Socket io;2019-01-07T21:17:47Z;2019-01-08T07:27:55Z
535;MDU6SXNzdWUzOTcyMDY2NjE=;{'totalCount': 1};Backend.png displaying black background;2019-01-09T04:24:03Z;2019-05-06T09:15:28Z
536;MDU6SXNzdWUzOTc4NzY2MTM=;{'totalCount': 2};Stylus as a CSS pre-procesor and also HTML pre-processors;2019-01-10T15:16:06Z;2020-01-04T00:35:19Z
537;MDU6SXNzdWUzOTc5MjAwNzI=;{'totalCount': 1};Graphql for front-end;2019-01-10T16:47:47Z;2020-01-04T00:41:28Z
538;MDU6SXNzdWUzOTc5NTkzNDU=;{'totalCount': 4};Why is the box with LESS in it grey?;2019-01-10T18:31:52Z;2020-01-04T00:22:52Z
539;MDU6SXNzdWUzOTc5NjkyNjU=;{'totalCount': 2};Missing Ionic for mobile path;2019-01-10T19:00:00Z;2020-01-04T00:22:19Z
540;MDU6SXNzdWUzOTgyOTk4MDI=;{'totalCount': 2};Improve visibility of HTML accessibility;2019-01-11T13:59:28Z;2020-01-04T00:19:52Z
541;MDU6SXNzdWUzOTgzMDM5MDQ=;{'totalCount': 2};Css framework;2019-01-11T14:10:03Z;2020-01-04T00:17:15Z
542;MDU6SXNzdWUzOTg1NjA4Njk=;{'totalCount': 4};A few picture for the original source in the readme;2019-01-12T14:56:42Z;2019-01-12T15:25:59Z
543;MDU6SXNzdWUzOTg1ODUxNzE=;{'totalCount': 1};Vuepress on Static Site Generators;2019-01-12T19:37:37Z;2020-01-04T00:11:30Z
544;MDU6SXNzdWUzOTg2NzI2MDI=;{'totalCount': 4};Inviting other computer experts to make it `computer-roadmap`;2019-01-13T16:13:44Z;2020-01-04T06:54:59Z
545;MDU6SXNzdWUzOTg4MTI4MzQ=;{'totalCount': 0};linux;2019-01-14T09:49:50Z;2019-01-15T03:51:06Z
547;MDU6SXNzdWUzOTkxNTM1NDE=;{'totalCount': 4};GitHub please let me unsubscribe from this, I have tried so many times but still end up getting mails.. please for god sake forgive me and unsubscribe from this thread alone...;2019-01-15T01:46:06Z;2019-01-15T01:46:16Z
550;MDU6SXNzdWU0MDExMzY3MDU=;{'totalCount': 4};Prometheus as monitoring platform;2019-01-20T20:39:17Z;2020-01-18T07:58:57Z
553;MDU6SXNzdWU0MDMyMzg1OTk=;{'totalCount': 1}; Transparent background in Back-end Roadmap;2019-01-25T16:50:17Z;2019-01-26T10:57:16Z
555;MDU6SXNzdWU0MDM2MDEyNzI=;{'totalCount': 6};Hugo in the Static Sites Generators;2019-01-27T22:09:08Z;2020-01-04T00:11:01Z
556;MDU6SXNzdWU0MDM2MDE0MTk=;{'totalCount': 2};Next in Static Sites Generators;2019-01-27T22:10:48Z;2020-01-03T23:43:57Z
560;MDU6SXNzdWU0MDg3NDYzODM=;{'totalCount': 9};Links ;2019-02-11T11:51:54Z;2020-01-03T21:54:01Z
561;MDU6SXNzdWU0MTEwNjkyOTA=;{'totalCount': 4};Spelling error;2019-02-16T12:40:25Z;2019-05-06T09:12:53Z
562;MDU6SXNzdWU0MTE1Mjg4NDg=;{'totalCount': 6};why not includes the GraphQL?;2019-02-18T15:25:30Z;2020-01-03T21:54:55Z
563;MDU6SXNzdWU0MTE4MDkwMzA=;{'totalCount': 2};Spelling error;2019-02-19T08:47:54Z;2020-01-18T07:56:51Z
564;MDU6SXNzdWU0MTI2ODMwODg=;{'totalCount': 2};Project suggestions?;2019-02-20T23:49:40Z;2020-01-03T21:53:05Z
566;MDU6SXNzdWU0MTY3ODc2NTY=;{'totalCount': 2};I just want to know how to draw this roadmap and which tool be used?;2019-03-04T12:53:20Z;2019-03-04T13:02:30Z
567;MDU6SXNzdWU0MTc3NTM3MDA=;{'totalCount': 1};use intend instead of 'front end' and 'back end';2019-03-06T11:22:05Z;2019-03-06T12:44:01Z
568;MDU6SXNzdWU0MjE4NDA2MzI=;{'totalCount': 1};Resources;2019-03-16T18:54:23Z;2020-01-03T21:51:33Z
570;MDU6SXNzdWU0MjU4MzcxMjU=;{'totalCount': 3};Missing info related to CI;2019-03-27T09:03:07Z;2020-01-18T07:50:57Z
571;MDU6SXNzdWU0MjY0NTc2MjI=;{'totalCount': 1};Cloud Development Roadmap;2019-03-28T12:10:19Z;2020-01-04T06:59:36Z
572;MDU6SXNzdWU0MjcyODgxNTY=;{'totalCount': 1};Syntax error (repeated word);2019-03-30T14:27:53Z;2020-01-03T21:50:42Z
573;MDU6SXNzdWU0MjkwNjk2Njg=;{'totalCount': 3};Desktop developer roadmap;2019-04-04T03:44:44Z;2020-01-04T06:39:58Z
574;MDU6SXNzdWU0Mjk5NjM3ODE=;{'totalCount': 5};Accessibility & Understandability - Color scheme;2019-04-05T22:59:59Z;2020-01-04T06:47:28Z
576;MDU6SXNzdWU0MzYwMDYzNDk=;{'totalCount': 0};My image;2019-04-23T05:34:06Z;2019-05-06T14:13:02Z
577;MDU6SXNzdWU0MzYxNTExNjc=;{'totalCount': 2};Mobile-first workflow should be added;2019-04-23T12:05:42Z;2020-01-03T21:50:28Z
578;MDU6SXNzdWU0MzczNTI3MzM=;{'totalCount': 1};Include popular service mesh options;2019-04-25T19:07:47Z;2020-01-18T07:50:11Z
579;MDU6SXNzdWU0NDAzMzY5NTg=;{'totalCount': 3};my image #2;2019-05-04T15:48:54Z;2019-05-05T14:59:09Z
582;MDU6SXNzdWU0NDExMjkyMzA=;{'totalCount': 0};Continuous integration for json checking;2019-05-07T09:22:03Z;2020-01-10T22:07:06Z
584;MDU6SXNzdWU0NDI2NjA2MTk=;{'totalCount': 1};Flutter;2019-05-10T10:58:04Z;2020-01-04T06:55:13Z
588;MDU6SXNzdWU0NDU2OTc2MDE=;{'totalCount': 1};Website is not working;2019-05-18T09:25:38Z;2019-05-18T10:34:58Z
589;MDU6SXNzdWU0NDYzODg5ODQ=;{'totalCount': 1};DevOps - systemd;2019-05-21T02:33:23Z;2020-01-18T07:38:00Z
590;MDU6SXNzdWU0NDc0ODAyMzU=;{'totalCount': 1};Frontend Roadmap - Add Responsive Design as Web Design;2019-05-23T06:55:43Z;2020-01-04T01:20:53Z
591;MDU6SXNzdWU0NDc1MzY4MjI=;{'totalCount': 1};Roadmap.sh simple_heart.svg shifts slightly;2019-05-23T09:12:16Z;2020-01-03T20:54:56Z
592;MDU6SXNzdWU0NDc1OTAzMDk=;{'totalCount': 1};Frontend Roadmap - Remove Semantic UI;2019-05-23T11:04:03Z;2020-01-03T20:54:27Z
594;MDU6SXNzdWU0NTAxNzU2OTQ=;{'totalCount': 1};Add Azure DevOps as a CI/CD tools in DevOps Roadmap;2019-05-30T07:44:08Z;2020-01-18T07:34:27Z
596;MDU6SXNzdWU0NTgxNDQwNDc=;{'totalCount': 1};Add comma after Basics of Javascript note...Scope;2019-06-19T17:52:03Z;2020-01-03T20:51:13Z
597;MDU6SXNzdWU0NjAyMDM0Njk=;{'totalCount': 1};Add Babel to front end;2019-06-25T04:31:32Z;2019-07-04T18:55:47Z
598;MDU6SXNzdWU0NjI0MTU5NjQ=;{'totalCount': 5};_;2019-06-30T15:16:58Z;2019-07-06T09:36:13Z
599;MDU6SXNzdWU0NjI3NjYzOTY=;{'totalCount': 1};Frontend - add state management;2019-07-01T15:04:58Z;2020-01-03T20:50:11Z
