name;owner;url;stargazers;issues;primaryLanguage
neovim;neovim;https://github.com/neovim/neovim;{'totalCount': 36539};{'totalCount': 5497};{'name': 'Vim script'}
babel;babel;https://github.com/babel/babel;{'totalCount': 36484};{'totalCount': 7081};{'name': 'JavaScript'}
prettier;prettier;https://github.com/prettier/prettier;{'totalCount': 36425};{'totalCount': 4191};{'name': 'JavaScript'}
architecture-samples;android;https://github.com/android/architecture-samples;{'totalCount': 36331};{'totalCount': 381};{'name': 'Kotlin'}
serverless;serverless;https://github.com/serverless/serverless;{'totalCount': 35766};{'totalCount': 4354};{'name': 'JavaScript'}
big-list-of-naughty-strings;minimaxir;https://github.com/minimaxir/big-list-of-naughty-strings;{'totalCount': 35732};{'totalCount': 72};{'name': 'Python'}
awesome-nodejs;sindresorhus;https://github.com/sindresorhus/awesome-nodejs;{'totalCount': 35666};{'totalCount': 89};
impress.js;impress;https://github.com/impress/impress.js;{'totalCount': 35665};{'totalCount': 436};{'name': 'JavaScript'}
parcel;parcel-bundler;https://github.com/parcel-bundler/parcel;{'totalCount': 35646};{'totalCount': 2965};{'name': 'JavaScript'}
frp;fatedier;https://github.com/fatedier/frp;{'totalCount': 35640};{'totalCount': 1429};{'name': 'Go'}
clean-code-javascript;ryanmcdermott;https://github.com/ryanmcdermott/clean-code-javascript;{'totalCount': 35576};{'totalCount': 91};{'name': 'JavaScript'}
retrofit;square;https://github.com/square/retrofit;{'totalCount': 35548};{'totalCount': 2364};{'name': 'Java'}
anime;juliangarnier;https://github.com/juliangarnier/anime;{'totalCount': 35322};{'totalCount': 534};{'name': 'JavaScript'}
node-v0.x-archive;nodejs;https://github.com/nodejs/node-v0.x-archive;{'totalCount': 35167};{'totalCount': 6383};
x64dbg;x64dbg;https://github.com/x64dbg/x64dbg;{'totalCount': 35061};{'totalCount': 1785};{'name': 'C++'}
free-for-dev;ripienaar;https://github.com/ripienaar/free-for-dev;{'totalCount': 35022};{'totalCount': 0};{'name': 'HTML'}
grafana;grafana;https://github.com/grafana/grafana;{'totalCount': 34856};{'totalCount': 15823};{'name': 'TypeScript'}
awesome-ios;vsouza;https://github.com/vsouza/awesome-ios;{'totalCount': 34820};{'totalCount': 432};{'name': 'Swift'}
learn-regex;ziishaned;https://github.com/ziishaned/learn-regex;{'totalCount': 34797};{'totalCount': 68};
build-web-application-with-golang;astaxie;https://github.com/astaxie/build-web-application-with-golang;{'totalCount': 34601};{'totalCount': 277};{'name': 'Go'}
AdminLTE;ColorlibHQ;https://github.com/ColorlibHQ/AdminLTE;{'totalCount': 34389};{'totalCount': 2151};{'name': 'JavaScript'}
tesseract;tesseract-ocr;https://github.com/tesseract-ocr/tesseract;{'totalCount': 34290};{'totalCount': 1824};{'name': 'C++'}
gogs;gogs;https://github.com/gogs/gogs;{'totalCount': 34233};{'totalCount': 4540};{'name': 'Go'}
mall;macrozheng;https://github.com/macrozheng/mall;{'totalCount': 34177};{'totalCount': 271};{'name': 'Java'}
awesome-interview-questions;MaximAbramchuck;https://github.com/MaximAbramchuck/awesome-interview-questions;{'totalCount': 34042};{'totalCount': 22};
face_recognition;ageitgey;https://github.com/ageitgey/face_recognition;{'totalCount': 34040};{'totalCount': 983};{'name': 'Python'}
git-flight-rules;k88hudson;https://github.com/k88hudson/git-flight-rules;{'totalCount': 33619};{'totalCount': 54};
Ghost;TryGhost;https://github.com/TryGhost/Ghost;{'totalCount': 33602};{'totalCount': 5744};{'name': 'JavaScript'}
svelte;sveltejs;https://github.com/sveltejs/svelte;{'totalCount': 33545};{'totalCount': 2764};{'name': 'JavaScript'}
Alamofire;Alamofire;https://github.com/Alamofire/Alamofire;{'totalCount': 33455};{'totalCount': 2335};{'name': 'Swift'}
awesome-courses;prakhar1989;https://github.com/prakhar1989/awesome-courses;{'totalCount': 33253};{'totalCount': 58};
hyper;zeit;https://github.com/zeit/hyper;{'totalCount': 33199};{'totalCount': 2983};{'name': 'TypeScript'}
vue2-elm;bailicangdu;https://github.com/bailicangdu/vue2-elm;{'totalCount': 33070};{'totalCount': 490};{'name': 'Vue'}
core;home-assistant;https://github.com/home-assistant/core;{'totalCount': 33044};{'totalCount': 14289};{'name': 'Python'}
you-get;soimort;https://github.com/soimort/you-get;{'totalCount': 32848};{'totalCount': 0};{'name': 'Python'}
AFNetworking;AFNetworking;https://github.com/AFNetworking/AFNetworking;{'totalCount': 32730};{'totalCount': 3023};{'name': 'Objective-C'}
shadowsocks;shadowsocks;https://github.com/shadowsocks/shadowsocks;{'totalCount': 32614};{'totalCount': 0};{'name': 'Python'}
git;git;https://github.com/git/git;{'totalCount': 32470};{'totalCount': 0};{'name': 'C'}
pm2;Unitech;https://github.com/Unitech/pm2;{'totalCount': 32316};{'totalCount': 3939};{'name': 'JavaScript'}
project-based-learning;tuvtran;https://github.com/tuvtran/project-based-learning;{'totalCount': 32283};{'totalCount': 26};
the-book-of-secret-knowledge;trimstray;https://github.com/trimstray/the-book-of-secret-knowledge;{'totalCount': 32248};{'totalCount': 37};
dubbo;apache;https://github.com/apache/dubbo;{'totalCount': 32197};{'totalCount': 3405};{'name': 'Java'}
leetcode;azl397985856;https://github.com/azl397985856/leetcode;{'totalCount': 31855};{'totalCount': 159};{'name': 'JavaScript'}
